hour,zeytouna-ain_mreysse_0,zeytouna-ain_mreysse_1,zeytouna-ain_mreysse_2,zeytouna-ain_mreysse_3,bliss-ain_mreysse_0,bliss-ain_mreysse_1,aub-ain_mreysse_0,aub-ain_mreysse_1
26/01/18 22,255,1113,299,355,23,107,299,1113
26/01/18 23,156,970,262,291,26,103,262,970
27/01/18 00,130,789,222,234,15,81,222,789
27/01/18 01,92,528,137,159,17,76,137,528
27/01/18 02,55,358,89,139,13,50,89,358
27/01/18 03,58,267,47,80,8,39,47,267
27/01/18 04,28,186,36,53,12,18,36,186
27/01/18 05,29,312,50,58,22,62,50,312
27/01/18 06,55,413,106,150,15,93,106,413
27/01/18 07,23,479,110,170,29,86,110,479
27/01/18 08,49,545,152,189,31,136,152,545
27/01/18 09,55,624,135,145,30,137,135,624
27/01/18 10,235,652,201,183,37,168,201,652
27/01/18 11,537,778,176,206,34,133,176,778
27/01/18 12,570,883,168,216,71,220,168,883
27/01/18 13,396,829,182,233,60,106,182,829
27/01/18 14,287,712,141,172,18,82,141,712
27/01/18 15,207,648,184,227,16,72,184,648
27/01/18 16,281,669,184,217,45,112,184,669
27/01/18 17,549,1099,310,359,40,208,310,1099
27/01/18 18,303,1182,373,380,35,198,373,1182
27/01/18 19,329,1260,352,400,22,235,352,1260
27/01/18 20,400,1388,376,422,29,258,376,1388
27/01/18 21,461,1198,313,338,11,82,313,1198
27/01/18 22,372,1259,362,351,36,167,362,1259
27/01/18 23,299,1089,264,290,23,166,264,1089
28/01/18 00,211,1023,201,304,26,177,201,1023
28/01/18 01,158,675,144,224,6,46,144,675
28/01/18 02,289,313,118,147,14,83,118,313
28/01/18 03,239,149,58,158,7,72,58,149
28/01/18 04,173,182,40,64,8,62,40,182
28/01/18 05,107,268,61,54,13,73,61,268
28/01/18 06,87,362,92,157,17,67,92,362
28/01/18 07,115,317,60,77,0,3,60,317
28/01/18 08,94,369,68,77,10,21,68,369
28/01/18 09,72,468,77,109,4,27,77,468
28/01/18 10,132,567,131,191,30,117,131,567
28/01/18 11,127,616,144,192,33,135,144,616
28/01/18 12,121,543,158,218,13,62,158,543
28/01/18 13,132,615,200,281,32,169,200,615
28/01/18 14,96,620,179,308,52,142,179,620
28/01/18 15,325,581,220,355,39,118,220,581
28/01/18 16,90,566,167,392,49,121,167,566
28/01/18 17,288,858,345,664,51,148,345,858
28/01/18 18,1852,1133,486,737,48,165,486,1133
28/01/18 19,232,1141,388,588,39,158,388,1141
28/01/18 20,120,1240,471,547,32,150,471,1240
28/01/18 21,288,1130,280,402,37,116,280,1130
28/01/18 22,212,1045,248,295,29,109,248,1045
28/01/18 23,195,728,239,210,25,92,239,728
29/01/18 00,96,577,125,157,15,63,125,577
29/01/18 01,82,359,68,131,12,45,68,359
29/01/18 02,79,140,35,51,8,23,35,140
29/01/18 03,84,76,16,31,6,16,16,76
